ID,Level,col3,col4,col5,col6,col7,col8
119,3260.4614,81,40,2,f,0,a3Piu
120,3392.1968,81,40,3,f,0,a3Piu
121,3258.9608,83,41,1,e,0,a3Piu
122,3390.3345,83,41,2,e,0,a3Piu
123,3527.0907,83,41,3,e,0,a3Piu
124,3389.6483,85,42,1,f,0,a3Piu
125,3526.4141,85,42,2,f,0,a3Piu
126,3664.2261,85,42,3,f,0,a3Piu
127,3524.9808,87,43,1,e,0,a3Piu
128,3662.4178,87,43,2,e,0,a3Piu
129,3805.4307,87,43,3,e,0,a3Piu
130,3661.7935,89,44,1,f,0,a3Piu
131,3804.8054,89,44,2,f,0,a3Piu
132,3948.6671,89,44,3,f,0,a3Piu
133,3803.4339,91,45,1,e,0,a3Piu
134,3946.9084,91,45,2,e,0,a3Piu
135,4096.1599,91,45,3,e,0,a3Piu
136,3946.3403,93,46,1,f,0,a3Piu
137,4095.582,93,46,2,f,0,a3Piu
138,4245.4646,93,46,3,f,0,a3Piu
139,4094.2674,95,47,1,e,0,a3Piu
140,4243.7517,95,47,2,e,0,a3Piu
141,4399.2221,95,47,3,e,0,a3Piu
142,4243.2348,97,48,1,f,0,a3Piu
143,4398.6881,97,48,2,f,0,a3Piu
144,4554.5611,97,48,3,f,0,a3Piu
145,4397.4261,99,49,1,e,0,a3Piu
146,4552.8905,99,49,2,e,0,a3Piu
147,4714.5586,99,49,3,e,0,a3Piu
148,4552.4205,101,50,1,f,0,a3Piu
149,4714.0655,101,50,2,f,0,a3Piu
150,4875.8967,101,50,3,f,0,a3Piu
151,4712.8523,103,51,1,e,0,a3Piu
152,4874.2654,103,51,2,e,0,a3Piu
153,5042.1087,103,51,3,e,0,a3Piu
154,4873.8384,105,52,1,f,0,a3Piu
155,5041.6538,105,52,2,f,0,a3Piu
156,5209.4093,105,52,3,f,0,a3Piu
157,5040.4861,107,53,1,e,0,a3Piu
158,5207.8146,107,53,2,e,0,a3Piu
159,5381.8092,107,53,3,e,0,a3Piu
160,5207.4272,109,54,1,f,0,a3Piu
161,5381.39,109,54,2,f,0,a3Piu
162,5555.0345,109,54,3,f,0,a3Piu
163,5380.2649,111,55,1,e,0,a3Piu
164,5553.474,111,55,2,e,0,a3Piu
165,5733.5945,111,55,3,e,0,a3Piu
166,5553.1232,113,56,1,f,0,a3Piu
167,5733.2088,113,56,2,f,0,a3Piu
168,5912.7054,113,56,3,f,0,a3Piu
169,5732.1236,115,57,1,e,0,a3Piu
170,5911.1769,115,57,2,e,0,a3Piu
171,6097.3969,115,57,3,e,0,a3Piu
172,5910.8599,117,58,1,f,0,a3Piu
